,NAME,Median Home Value,Household Income,Population,Median Age,Per Capita Income,State,County
151,"Hill County, Montana",140900.0,47141.0,16439.0,34.5,23017.0,Montana,Hill County
152,"Powder River County, Montana",122900.0,52457.0,1619.0,53.0,30969.0,Montana,Powder River County
153,"Park County, Montana",255700.0,49194.0,16246.0,46.2,32133.0,Montana,Park County
154,"Roosevelt County, Montana",119400.0,42904.0,11228.0,30.3,18813.0,Montana,Roosevelt County
155,"Blaine County, Montana",89800.0,38083.0,6727.0,33.8,18155.0,Montana,Blaine County
156,"Liberty County, Montana",114000.0,47419.0,2280.0,49.1,45587.0,Montana,Liberty County
157,"Richland County, Montana",217400.0,67272.0,11360.0,38.9,31849.0,Montana,Richland County
158,"Teton County, Montana",163000.0,51862.0,6080.0,44.6,27402.0,Montana,Teton County
159,"Toole County, Montana",136300.0,46823.0,4976.0,41.2,26434.0,Montana,Toole County
160,"Fallon County, Montana",165700.0,60750.0,2838.0,39.3,34329.0,Montana,Fallon County
161,"Daniels County, Montana",136100.0,54750.0,1753.0,50.7,34799.0,Montana,Daniels County
162,"Judith Basin County, Montana",141100.0,45764.0,1951.0,52.2,29827.0,Montana,Judith Basin County
163,"Silver Bow County, Montana",143300.0,42237.0,34814.0,39.8,26224.0,Montana,Silver Bow County
164,"Deer Lodge County, Montana",120300.0,41783.0,9100.0,48.5,25742.0,Montana,Deer Lodge County
165,"Jefferson County, Montana",277500.0,66867.0,11778.0,47.9,32133.0,Montana,Jefferson County
166,"McCone County, Montana",126300.0,47500.0,1630.0,50.1,27365.0,Montana,McCone County
167,"Wheatland County, Montana",89800.0,41186.0,2149.0,40.4,21442.0,Montana,Wheatland County
168,"Rosebud County, Montana",116800.0,56549.0,9250.0,36.4,23471.0,Montana,Rosebud County
169,"Carter County, Montana",101300.0,44196.0,1318.0,50.5,32001.0,Montana,Carter County
170,"Dawson County, Montana",156600.0,59820.0,9191.0,40.5,32501.0,Montana,Dawson County
171,"Broadwater County, Montana",203700.0,56469.0,5834.0,46.9,32362.0,Montana,Broadwater County
172,"Lake County, Montana",235300.0,45488.0,29774.0,42.3,24912.0,Montana,Lake County
173,"Pondera County, Montana",123500.0,45458.0,6044.0,40.5,24392.0,Montana,Pondera County
174,"Yellowstone County, Montana",216900.0,59117.0,157816.0,38.2,33007.0,Montana,Yellowstone County
175,"Ravalli County, Montana",262600.0,48930.0,41902.0,48.8,27766.0,Montana,Ravalli County
176,"Valley County, Montana",131800.0,55882.0,7532.0,44.4,28899.0,Montana,Valley County
177,"Fergus County, Montana",134900.0,50327.0,11273.0,46.0,29237.0,Montana,Fergus County
178,"Mineral County, Montana",166000.0,41905.0,4211.0,52.6,23744.0,Montana,Mineral County
179,"Petroleum County, Montana",133300.0,44688.0,432.0,52.1,32565.0,Montana,Petroleum County
180,"Sanders County, Montana",224200.0,36984.0,11521.0,53.2,23822.0,Montana,Sanders County
181,"Flathead County, Montana",259400.0,52966.0,98082.0,42.1,30068.0,Montana,Flathead County
182,"Wibaux County, Montana",102500.0,50202.0,1175.0,46.0,23137.0,Montana,Wibaux County
183,"Meagher County, Montana",155000.0,43109.0,1968.0,45.9,23972.0,Montana,Meagher County
184,"Carbon County, Montana",239500.0,57538.0,10546.0,50.3,32553.0,Montana,Carbon County
185,"Phillips County, Montana",126500.0,46222.0,4124.0,47.2,23533.0,Montana,Phillips County
186,"Adams County, Nebraska",118300.0,51536.0,31583.0,37.4,28783.0,Nebraska,Adams County
187,"Lancaster County, Nebraska",167900.0,58009.0,310094.0,33.3,30929.0,Nebraska,Lancaster County
188,"Boone County, Nebraska",111800.0,54063.0,5313.0,44.6,30680.0,Nebraska,Boone County
